case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-de878a31f7fb9824ed89,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Mikhail_Youzhny:Mikhail_Youzhny_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0289614796638488,True,False,False,True,True,0.945483672983962,True,high_error,1,42,8
gradcam-6620af73c0eff15e74f5,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Paul_Kagame:Paul_Kagame_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1036157459020614,True,False,False,True,True,0.9308446681700728,True,high_error,2,42,8
gradcam-345e1efe79905c24c6cb,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Susan_Collins:Susan_Collins_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0457458943128585,True,False,False,True,True,0.9141476971710712,True,high_error,3,42,8
gradcam-f076fa411362e9dd63fa,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Kelly_Clarkson:Kelly_Clarkson_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0265016257762908,True,False,False,True,True,0.9137841096794064,True,high_error,4,42,8
gradcam-60a2b516578e0100f42d,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Serena_Williams:Serena_Williams_0039,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,-0.0331429243087768,True,False,False,True,True,0.9128094067469318,True,high_error,5,42,8
gradcam-a9b20c110ebb137dafc4,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Hillary_Clinton:Hillary_Clinton_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,-0.0316002368927001,True,False,False,True,True,0.9078269163225858,True,high_error,6,42,8
gradcam-c1b0553502771fcbff84,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Marcelo_Rios:Marcelo_Rios_0003,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0589437782764434,True,False,False,True,True,0.902778146963421,True,high_error,7,42,8
gradcam-2d53f9973a6aa3b1490f,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Barbara_Walters:Barbara_Walters_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0538434982299804,True,False,False,True,True,0.9020932124561818,True,high_error,8,42,8
gradcam-ba2fb1354ec34c82ce83,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Sam_Bith:Sam_Bith_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0517829954624176,False,False,False,True,True,0.9429703988235664,True,rank_flip,1,42,8
gradcam-6c2c2b8e6d159bdeb396,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:George_Robertson:George_Robertson_0018,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.0338666141033172,False,False,False,True,True,0.9371890809834608,True,rank_flip,2,42,8
gradcam-46e83f107372035e6593,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Nora_Bendijo:Nora_Bendijo_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1312026083469391,False,False,False,True,True,0.9358064271378104,True,rank_flip,3,42,8
gradcam-4c90be2a4389d3a54cb5,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Abdel_Nasser_Assidi:Abdel_Nasser_Assidi_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0909273326396942,False,False,False,True,True,0.9341362559322658,True,rank_flip,4,42,8
gradcam-93e8d096030cac936a7f,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Marcelo_Rios:Marcelo_Rios_0005,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,-0.0246429592370986,False,False,False,True,True,0.9268292920628576,True,rank_flip,5,42,8
gradcam-1f9318929a5ee7cefe76,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Chanda_Rubin:Chanda_Rubin_0005,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1055656038224697,False,False,False,True,True,0.9221477329953373,True,rank_flip,6,42,8
gradcam-e04fe9a31b3bd36b2ccd,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Byron_Scott:Byron_Scott_0001,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.036529466509819,False,False,False,True,True,0.9210630909236726,True,rank_flip,7,42,8
gradcam-5112b926cecee40e5901,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Chanda_Rubin:Chanda_Rubin_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.099111720919609,False,False,False,True,True,0.9165526859619098,True,rank_flip,8,42,8
gradcam-d123b4691916173beadc,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Tom_Craddick:Tom_Craddick_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0258715003728866,True,False,False,True,True,0.6387010903580664,True,stable,1,42,8
gradcam-85bcb01d6ed2e17d943e,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Arlen_Specter:Arlen_Specter_0002,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0133054703474044,True,False,False,True,True,0.646126605225087,True,stable,2,42,8
gradcam-7398e51b6be8a695f657,population-0c3f8eb0cc9ad7c3ceebe1c0,lfw,lfw:Sergei_Ivanov:Sergei_Ivanov_0004,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1036379039287567,True,False,False,True,True,0.654247057193701,True,stable,3,42,8
