partition_seed,target_fpir,method,model_uid,model_json,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
0,0.01,baseline,continuous-threshold-349761cce2ea3a1607684ae6,"{""method"": ""baseline"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [2.0092473454020663, 0.07380079006550916, -0.20898866551762219, -0.4747243609098885], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0013518797228312396, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.01,plus_outside,saliency-fallback-2fd91e782c57c24442047776,"{""method"": ""plus_outside"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [2.0092473454020663, 0.07380079006550916, -0.20898866551762219, -0.4747243609098885], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_outside"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.558159465, 0.7542610685938257], ""scales"": [0.240150825, 0.20406220243812256], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.9816898693328477, 0.06532842910879569, -0.18942817507988127, -0.426642774150842, 0.11537990142465541], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0010489660996335637, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 19, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.01,plus_entropy,saliency-fallback-b4782799741bed2620970629,"{""method"": ""plus_entropy"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [2.0092473454020663, 0.07380079006550916, -0.20898866551762219, -0.4747243609098885], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_entropy"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.558159465, 0.8040487837132498], ""scales"": [0.240150825, 0.14987410479259677], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.9840897523246548, 0.06733197357979598, -0.2127805968125254, -0.45860591767379144, -0.07713471640936372], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0010343694660273628, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 19, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.01,plus_both,saliency-fallback-e21251e3ba725bac635f317b,"{""method"": ""plus_both"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [2.0092473454020663, 0.07380079006550916, -0.20898866551762219, -0.4747243609098885], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_both"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.558159465, 0.7542610685938257, 0.8040487837132498], ""scales"": [0.240150825, 0.20406220243812256, 0.14987410479259677], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.9541294145410326, 0.05317981867950397, -0.1919731075114041, -0.40913193569306905, 0.13450759883211988, -0.08661415083122917], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0002270525235290033, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 20, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,baseline,continuous-threshold-9d8ba17410bb0f8566800cc0,"{""method"": ""baseline"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.620813085845791, 0.08111729213190827, -0.20259725523240904, -0.5442185012649914], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 17, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_outside,saliency-fallback-43af2af11f2cc4d2b61e1516,"{""method"": ""plus_outside"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.620813085845791, 0.08111729213190827, -0.20259725523240904, -0.5442185012649914], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 17, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_outside"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.558159465, 0.7542610685938257], ""scales"": [0.240150825, 0.20406220243812256], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.6127829179892892, 0.08230726587460106, -0.22668068597764954, -0.46061805276426737, 0.1342451366890872], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 22, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_entropy,saliency-fallback-8c8dca8b49d63fc420acde46,"{""method"": ""plus_entropy"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.620813085845791, 0.08111729213190827, -0.20259725523240904, -0.5442185012649914], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 17, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_entropy"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.558159465, 0.8040487837132498], ""scales"": [0.240150825, 0.14987410479259677], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.6005669050278553, 0.06986850659113782, -0.2022132887427839, -0.5382965873889702, -0.08628373984620827], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 21, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,saliency-fallback-db766bb78a7b12ed0d23da98,"{""method"": ""plus_both"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.620813085845791, 0.08111729213190827, -0.20259725523240904, -0.5442185012649914], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 17, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_both"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.558159465, 0.7542610685938257, 0.8040487837132498], ""scales"": [0.240150825, 0.20406220243812256, 0.14987410479259677], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.5953685001098816, 0.07169161208007004, -0.22860812420546958, -0.4521273689511882, 0.13792357529343896, -0.08798916774415996], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 22, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,baseline,continuous-threshold-78c9a33058b97f0995cc89c3,"{""method"": ""baseline"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.394993690258609, 0.09561304780131695, -0.3165211687663058, -0.44472682508978445], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 22, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,saliency-fallback-b0143eec0d2092ed1fe3387f,"{""method"": ""plus_outside"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""fiqa_model"": {""method"": ""continuous_fiqa"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5582518000000001], ""scales"": [0.2402987525], ""quality_bounds"": [-2.7263229341983375, 6.309761429160978], ""quality_knots"": [-0.270891321696174, 0.3306019382407458], ""coefficients"": [1.394993690258609, 0.09561304780131695, -0.3165211687663058, -0.44472682508978445], ""score_center"": -0.6007623374462128, ""score_scale"": 0.22937563493690916, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""safety_non_mated_count"": 31761, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 22, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""disabled_child_joint_safety_in_parent"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}, ""saliency_model"": {""method"": ""plus_outside"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.558159465, 0.7542610685938257], ""scales"": [0.240150825, 0.20406220243812256], ""quality_bounds"": [-2.727617800188694, 6.314032587645701], ""quality_knots"": [-0.27098130935007203, 0.3306719225303514], ""coefficients"": [1.3792553095475955, 0.08759113518555359, -0.3146099729128884, -0.3744871466305584, 0.14407642417612815], ""score_center"": -0.6006588637828827, ""score_scale"": 0.22928291663109887, ""safety_offset"": 0.0, ""settings"": {}}, ""safety_offset"": 0.0, ""settings"": {""fallback_policy"": ""invalid-saliency-fiqa-only-joint-safety-v1"", ""fallback_method"": ""continuous_fiqa"", ""partition_seed"": 0, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 67064, ""fit_valid_non_mated_count"": 67004, ""safety_non_mated_count"": 31761, ""safety_invalid_non_mated_count"": 27, ""saliency_branch_enabled"": true, ""branch_disabled_reason"": null, ""minimum_valid_fit_non_mated"": 20, ""optimizer_iterations"": 20, ""fit_features_source"": ""valid_fit_non_mated_only"", ""validity_features"": [""outside_face_attention"", ""saliency_entropy""], ""safety_rule"": ""full_cohort_joint_non_mated_residual_quantile"", ""threshold_fit_on_test"": false, ""formal_fpir_guarantee"": false}}",failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
